Capitais Nordestinas;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Aracaju;0.167;0.139;0.168;0.128;0.141;0.166;0.147;0.194;0.264;0.279;0.313
Fortaleza;0.422;0.562;0.606;0.754;0.712;0.765;1.139;1.174;1.718;1.998;2.026
João Pessoa;0.203;0.239;0.262;0.310;0.346;0.431;0.515;0.575;0.499;0.479;0.464
Maceió;0.442;0.511;0.775;0.818;0.898;0.759;0.878;0.902;0.761;0.811;0.710
Natal;0.74;0.117;0.131;0.185;0.202;0.246;0.254;0.303;0.356;0.419;0.437
Recife;1.147;1.128;1.166;1.144;1.078;0.937;0.726;0.708;0.615;0.510;0.554
Salvador;0.589;0.864;0.964;1.166;1.633;1.747;1.558;1.405;1.367;1.268;1.102
São Luís;0.412;0.139;0.152;0.206;0.239;0.314;0.311;0.368;0.456;0.658;0.717
Teresina;0.97;0.106;0.138;0.120;0.103;0.129;0.149;0.182;0.234;0.283;0.346
